Time,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,SdkRequest,ResponseRead
2021-12-29 09:59:33:7092400 PM,32.5347,,,,0.0137,0.0292,35.333,0.0492
2021-12-29 09:59:33:7889927 PM,41.0554,,,,0.0145,0.044,42.6469,0.0335
2021-12-29 09:59:33:8665002 PM,40.3502,,,,0.0196,0.0183,41.6126,0.0272
2021-12-29 09:59:33:9450840 PM,46.5315,,,,0.014,0.0186,49.2015,0.0321
2021-12-29 09:59:34:0390637 PM,34.276,,,,0.0143,0.0297,38.6353,0.0511
2021-12-29 09:59:34:1306595 PM,43.1388,,,,0.0687,0.0289,46.5797,0.0496
2021-12-29 09:59:34:2070256 PM,45.1153,,,,0.0142,0.0199,47.7576,0.0343
2021-12-29 09:59:34:2697403 PM,33.8697,,,,0.0141,0.0184,36.8027,0.0335
2021-12-29 09:59:34:3467984 PM,45.0578,,,,0.0157,0.0188,47.865,0.0327
2021-12-29 09:59:34:4240808 PM,34.7574,,,,0.0144,0.0185,37.9334,0.0354
2021-12-29 09:59:34:5050933 PM,35.8728,,,,0.014,0.019,39.2119,0.0307
2021-12-29 09:59:34:5975166 PM,36.1403,,,,0.0182,0.0235,39.7747,0.032
2021-12-29 09:59:34:6750030 PM,33.9741,,,,0.0145,0.0194,36.6781,0.0296
2021-12-29 09:59:34:7534682 PM,33.9339,,,,0.0143,0.0195,36.9027,0.0297
2021-12-29 09:59:34:8316814 PM,36.4226,,,,0.0143,0.0192,37.9109,0.0407
2021-12-29 09:59:34:9089939 PM,39.3947,,,,0.0148,0.0185,42.4556,0.0306
2021-12-29 09:59:35:0191729 PM,64.4008,,,,0.0147,0.0346,67.3581,0.0468
2021-12-29 09:59:35:0955278 PM,34.398,,,,0.0143,0.0198,37.2658,0.0343
2021-12-29 09:59:35:1735596 PM,34.9256,,,,0.0213,0.018,38.1886,0.0302
2021-12-29 09:59:35:2500885 PM,36.0486,,,,0.0358,0.0191,39.3918,0.0345
2021-12-29 09:59:35:3295841 PM,33.8039,,,,0.0132,0.0198,36.4314,0.0304
2021-12-29 09:59:35:3932366 PM,32.65,,,,0.0164,0.0191,33.7321,0.054
2021-12-29 09:59:35:4679012 PM,43.2555,,,,0.0136,0.0205,46.0613,0.0339
2021-12-29 09:59:35:5476020 PM,37.3149,,,,0.0135,0.0222,38.4667,0.0292
2021-12-29 09:59:35:6245636 PM,33.7925,,,,0.0139,0.0183,36.7211,0.036
2021-12-29 09:59:35:7013853 PM,35.7298,,,,0.015,0.0245,38.4576,0.0293
2021-12-29 09:59:35:7809591 PM,40.3099,,,,0.0148,0.0187,43.2744,0.0307
2021-12-29 09:59:35:8547398 PM,34.1903,,,,0.0139,0.0182,37.2687,0.0319
2021-12-29 09:59:35:9323508 PM,34.034,,,,0.0138,0.0207,37.1295,0.0377
2021-12-29 09:59:36:0116119 PM,37.4009,,,,0.0136,0.0188,40.2335,0.0328
