Time,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,SdkRequest,ResponseRead
2021-12-29 10:26:31:7593013 PM,982.8591,115.4348,115.0848,404.0389,0.7212,1.5731,1179.9384,4.1408
2021-12-29 10:26:31:9283205 PM,124.617,,,,0.0579,0.0532,128.7647,0.9092
2021-12-29 10:26:32:0663832 PM,102.9306,,,,0.0224,0.0783,106.1148,0.1749
2021-12-29 10:26:32:2655352 PM,132.0755,,,,0.0203,0.0373,135.5256,0.0615
2021-12-29 10:26:32:4026296 PM,93.4527,,,,0.0219,0.0236,96.5739,0.0432
2021-12-29 10:26:32:5261032 PM,93.1609,,,,0.0258,0.0529,95.7964,0.0504
2021-12-29 10:26:32:6508697 PM,79.2996,,,,0.0195,0.0383,82.4231,0.0524
2021-12-29 10:26:32:7580427 PM,64.8445,,,,0.0233,0.0337,68.6494,0.1256
2021-12-29 10:26:32:8628846 PM,67.9517,,,,0.0181,0.0212,71.5398,0.0444
2021-12-29 10:26:32:9423947 PM,40.7901,,,,0.0205,0.0604,43.9535,0.0907
2021-12-29 10:26:33:0935416 PM,110.0764,,,,0.018,0.0211,113.1551,0.0437
2021-12-29 10:26:33:2151413 PM,88.3716,,,,0.0175,0.0193,91.1472,0.0591
2021-12-29 10:26:33:3228974 PM,76.0451,,,,0.0171,0.0252,78.6364,0.045
2021-12-29 10:26:33:4877135 PM,89.0392,,,,0.0241,0.0432,92.4157,0.0561
2021-12-29 10:26:33:6111326 PM,81.3894,,,,0.02,0.0213,84.457,0.0547
2021-12-29 10:26:33:7338831 PM,81.7272,,,,0.0205,0.042,84.9446,0.0874
2021-12-29 10:26:33:8397166 PM,73.6103,,,,0.0177,0.0266,76.9895,0.0566
2021-12-29 10:26:33:9482549 PM,66.913,,,,0.0191,0.0224,69.9149,0.3976
2021-12-29 10:26:34:0533201 PM,61.8509,,,,0.02,0.0647,65.1945,0.0422
2021-12-29 10:26:34:1770686 PM,79.4696,,,,0.0181,0.0197,82.9141,0.0444
2021-12-29 10:26:34:2693046 PM,52.5434,,,,0.0209,0.0198,55.5933,0.0414
2021-12-29 10:26:34:3770549 PM,64.7253,,,,0.0174,0.0191,67.6975,0.0392
2021-12-29 10:26:34:4992242 PM,82.1232,,,,0.0177,0.0225,83.5667,0.3208
2021-12-29 10:26:34:9463370 PM,414.9457,,,,0.0172,0.0653,417.8534,0.0518
2021-12-29 10:26:35:0545820 PM,66.3182,,,,0.0175,0.0346,69.5691,0.0524
2021-12-29 10:26:35:1605715 PM,76.9459,,,,0.0338,0.0203,80.0913,0.0434
2021-12-29 10:26:35:2851867 PM,89.5907,,,,0.016,0.0209,92.366,0.0464
2021-12-29 10:26:35:4058970 PM,87.9937,,,,0.0175,0.0275,92.5802,0.0525
2021-12-29 10:26:35:5447807 PM,98.5107,,,,0.0341,0.0216,101.669,0.0442
2021-12-29 10:26:35:6683010 PM,85.8437,,,,0.0203,0.0254,88.8951,0.0519
2021-12-29 10:26:35:7880943 PM,82.1012,,,,0.0186,0.0221,85.4405,0.3682
2021-12-29 10:26:35:9261064 PM,94.0374,,,,0.0207,0.0205,97.3224,0.0418
2021-12-29 10:26:36:0476698 PM,76.6558,,,,0.0218,0.0206,80.4395,0.0541
2021-12-29 10:26:36:1215526 PM,41.0195,,,,0.0156,0.0243,43.9174,0.0324
2021-12-29 10:26:36:2309867 PM,71.9202,,,,0.015,0.0207,74.6823,0.0346
2021-12-29 10:26:36:3370410 PM,71.5805,,,,0.0137,0.018,74.3014,0.0356
2021-12-29 10:26:36:4436889 PM,72.0357,,,,0.0136,0.0189,74.794,0.0291
2021-12-29 10:26:36:5347568 PM,61.8034,,,,0.014,0.0188,64.3053,0.0352
2021-12-29 10:26:36:6596895 PM,90.0257,,,,0.0164,0.0199,92.8089,0.0297
2021-12-29 10:26:36:7681307 PM,69.539,,,,0.0137,0.0185,72.2004,0.0286
2021-12-29 10:26:36:8586975 PM,54.3728,,,,0.016,0.0225,57.9753,0.0288
2021-12-29 10:26:36:9515733 PM,54.7185,,,,0.0139,0.0189,55.889,0.028
2021-12-29 10:26:37:0431053 PM,61.7241,,,,0.0147,0.0204,64.5948,0.0361
2021-12-29 10:26:37:1650222 PM,89.7763,,,,0.0142,0.0229,92.8829,0.1866
2021-12-29 10:26:37:2906421 PM,87.6182,,,,0.0155,0.0188,89.0098,0.0281
2021-12-29 10:26:37:3970577 PM,68.9252,,,,0.0133,0.0473,71.8324,0.0318
2021-12-29 10:26:37:5184166 PM,86.9684,,,,0.0382,0.0413,90.548,0.0439
2021-12-29 10:26:37:6396562 PM,83.0458,,,,0.0136,0.0182,86.1582,0.0277
2021-12-29 10:26:37:7628719 PM,84.3269,,,,0.0198,0.0189,87.7148,0.0311
2021-12-29 10:26:37:8975933 PM,98.9308,,,,0.0138,0.0203,101.5801,0.0345
2021-12-29 10:26:38:0341488 PM,103.1531,,,,0.0138,0.0267,105.8951,0.0327
2021-12-29 10:26:38:1426621 PM,73.4655,,,,0.0137,0.0188,75.0109,0.0307
