Time,Sign,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,Get,ResponseRead
2022-02-03 11:41:31:5013913 PM,0.9028,35.5679,,,,0.0127,0.0326,37.3574,0.0034
2022-02-03 11:41:31:5791079 PM,3.007,34.7998,,,,0.0126,0.0179,34.8415,0.0028
2022-02-03 11:41:31:6567002 PM,2.5672,43.6382,,,,0.0155,0.0743,43.7209,0.0115
2022-02-03 11:41:31:7341679 PM,2.2352,39.8883,,,,0.016,0.0196,39.9281,0.0031
2022-02-03 11:41:31:8113130 PM,0.9046,36.017,,,,0.0214,0.0362,37.8829,0.003
2022-02-03 11:41:31:8905091 PM,0.7074,32.7889,,,,0.013,0.0195,34.2731,0.0026
2022-02-03 11:41:31:9675054 PM,2.2244,33.7682,,,,0.0123,0.0199,33.8052,0.0027
2022-02-03 11:41:32:0440337 PM,3.0347,34.6582,,,,0.0133,0.02,34.7022,0.0028
2022-02-03 11:41:32:1197665 PM,0.9121,36.4922,,,,0.0123,0.019,38.2314,0.0026
2022-02-03 11:41:32:1984654 PM,1.1937,40.4747,,,,0.0119,0.0184,40.5147,0.003
2022-02-03 11:41:32:2752566 PM,2.309,34.2858,,,,0.0121,0.0182,34.3217,0.0029
2022-02-03 11:41:32:4012468 PM,2.9092,86.5867,,,,0.0126,0.019,86.6263,0.0029
2022-02-03 11:41:32:4774380 PM,0.7252,36.8579,,,,0.0168,0.0195,38.6619,0.0108
2022-02-03 11:41:32:5546713 PM,2.2738,37.1327,,,,0.0119,0.0192,37.189,0.004
2022-02-03 11:41:32:6317710 PM,0.738,36.1024,,,,0.0124,0.0268,36.1381,0.0027
2022-02-03 11:41:32:7075381 PM,0.7259,37.2965,,,,0.0126,0.0184,37.3316,0.0033
2022-02-03 11:41:32:7881670 PM,0.6487,41.4243,,,,0.0155,0.0755,41.5001,0.0114
2022-02-03 11:41:32:8635843 PM,1.0454,33.3507,,,,0.0122,0.0189,33.4038,0.0029
2022-02-03 11:41:32:9263694 PM,0.6426,31.879,,,,0.0117,0.0182,31.9128,0.0024
2022-02-03 11:41:33:0059772 PM,0.6486,39.5655,,,,0.0117,0.018,39.5993,0.0063
2022-02-03 11:41:33:1018015 PM,0.9158,46.5066,,,,0.0125,0.0186,46.5442,0.0031
2022-02-03 11:41:33:1801322 PM,0.9774,32.7373,,,,0.0118,0.019,32.775,0.0035
2022-02-03 11:41:33:2581608 PM,1.1363,34.1733,,,,0.0139,0.0752,34.2489,0.0115
2022-02-03 11:41:33:3372028 PM,0.8526,34.5694,,,,0.0178,0.0187,34.6047,0.0027
2022-02-03 11:41:33:4125380 PM,0.7978,34.8269,,,,0.0121,0.018,34.8618,0.0028
2022-02-03 11:41:33:4735259 PM,0.7627,33.0041,,,,0.0119,0.0203,33.039,0.0034
2022-02-03 11:41:33:5492359 PM,0.7748,34.0771,,,,0.0205,0.0206,34.116,0.0028
2022-02-03 11:41:33:6261997 PM,0.7203,32.4051,,,,0.013,0.0178,32.4561,0.0028
2022-02-03 11:41:33:7056114 PM,3.2632,31.0673,,,,0.0139,0.0229,31.1077,0.0033
2022-02-03 11:41:33:7833289 PM,3.0205,31.5633,,,,0.0193,0.0292,31.6155,0.0062
2022-02-03 11:41:33:8570424 PM,0.8559,31.3577,,,,0.0152,0.0193,33.0042,0.003
2022-02-03 11:41:33:9199994 PM,2.3553,32.514,,,,0.0125,0.0193,32.5492,0.0027
2022-02-03 11:41:33:9819149 PM,2.2973,32.3761,,,,0.0117,0.0228,32.4156,0.0024
2022-02-03 11:41:34:0600460 PM,2.3685,33.0881,,,,0.012,0.0212,33.1311,0.0026
2022-02-03 11:41:34:1388955 PM,0.8763,33.0773,,,,0.0122,0.0198,34.6238,0.003
2022-02-03 11:41:34:2174747 PM,2.4048,32.2095,,,,0.0116,0.1135,32.2916,0.0124
2022-02-03 11:41:34:3549892 PM,2.165,102.1807,,,,0.0123,0.0182,102.2216,0.0027
2022-02-03 11:41:34:4197084 PM,0.8104,32.8366,,,,0.0129,0.02,32.913,0.0034
2022-02-03 11:41:34:4968770 PM,2.1571,32.4728,,,,0.0133,0.0179,32.508,0.0031
2022-02-03 11:41:34:5719353 PM,0.7402,33.4096,,,,0.0169,0.0192,34.9554,0.0027
2022-02-03 11:41:34:7776354 PM,0.7366,165.1986,45.3321,21.8677,55.0554,0.0135,0.024,166.6926,0.0052
2022-02-03 11:41:34:8554220 PM,0.8694,33.903,,,,0.0151,0.0182,35.2744,0.0035
2022-02-03 11:41:34:9335949 PM,2.3283,34.0376,,,,0.0127,0.0216,34.0797,0.0061
2022-02-03 11:41:34:9968029 PM,0.7423,33.8798,,,,0.0127,0.0178,35.3564,0.0026
2022-02-03 11:41:35:0591983 PM,0.9115,35.658,,,,0.0119,0.0197,35.6958,0.0028
2022-02-03 11:41:35:1208287 PM,0.6666,33.356,,,,0.0175,0.0189,33.39,0.0034
2022-02-03 11:41:35:1946249 PM,0.8202,33.6658,,,,0.0186,0.0191,33.7043,0.0026
2022-02-03 11:41:35:2590987 PM,0.6686,35.5576,,,,0.0122,0.0188,35.5926,0.0031
2022-02-03 11:41:35:3381407 PM,0.9817,31.0881,,,,0.0119,0.0175,32.7234,0.0024
2022-02-03 11:41:35:4130440 PM,0.71,34.8913,,,,0.0124,0.0181,34.927,0.0029
2022-02-03 11:41:35:4757845 PM,0.6774,34.1273,,,,0.012,0.0185,34.1618,0.0028
2022-02-03 11:41:35:5381887 PM,0.7592,32.7396,,,,0.0126,0.0191,32.7745,0.0032
2022-02-03 11:41:35:5988364 PM,0.7725,31.0772,,,,0.0119,0.0221,31.1113,0.0029
2022-02-03 11:41:35:6620763 PM,0.7894,33.4946,,,,0.012,0.019,33.5326,0.0029
2022-02-03 11:41:35:7253762 PM,0.733,30.7935,,,,0.0119,0.0184,30.8333,0.0037
2022-02-03 11:41:35:8048390 PM,0.9647,32.3908,,,,0.0124,0.0179,33.8979,0.0029
2022-02-03 11:41:35:8795071 PM,2.8752,33.3126,,,,0.0142,0.0225,33.3562,0.0064
2022-02-03 11:41:35:9572148 PM,0.8513,34.2615,,,,0.0118,0.0187,34.2965,0.0033
2022-02-03 11:41:36:0352384 PM,0.9173,52.3998,,,,0.0123,0.0228,52.4356,0.0031
2022-02-03 11:41:36:1133033 PM,0.876,36.2805,,,,0.0119,0.0178,36.3143,0.0029
2022-02-03 11:41:36:1919371 PM,0.6886,32.3676,,,,0.0123,0.0181,32.4007,0.0029
2022-02-03 11:41:36:2673109 PM,1.0685,37.5053,,,,0.0122,0.0239,37.542,0.0031
2022-02-03 11:41:36:3440769 PM,0.7195,35.6752,,,,0.0118,0.0326,35.7119,0.0029
2022-02-03 11:41:36:4254233 PM,0.712,36.3735,,,,0.0125,0.0193,36.4326,0.0026
2022-02-03 11:41:36:5029090 PM,0.7485,34.7412,,,,0.0126,0.0203,34.7805,0.0029
2022-02-03 11:41:36:5647890 PM,0.8343,31.4404,,,,0.0121,0.0179,31.4731,0.0024
2022-02-03 11:41:36:6425595 PM,0.7901,36.7717,,,,0.0121,0.0704,36.847,0.0111
2022-02-03 11:41:36:7196327 PM,0.6508,33.6893,,,,0.0136,0.0173,33.7239,0.0029
2022-02-03 11:41:36:7971948 PM,0.6485,36.05,,,,0.0123,0.0194,36.0829,0.0027
2022-02-03 11:41:36:8760025 PM,0.8355,42.6735,,,,0.0116,0.038,42.7193,0.0078
2022-02-03 11:41:36:9511633 PM,1.0401,34.0416,,,,0.0125,0.0189,34.0763,0.0035
2022-02-03 11:41:37:0303301 PM,0.9304,36.6311,,,,0.012,0.0182,36.6734,0.0027
2022-02-03 11:41:37:1078549 PM,1.0178,33.1498,,,,0.0118,0.022,33.1841,0.0029
2022-02-03 11:41:37:1830347 PM,0.8596,34.1032,,,,0.0123,0.0252,34.142,0.0029
2022-02-03 11:41:37:2426569 PM,0.7317,31.1512,,,,0.0117,0.0198,31.1932,0.0027
2022-02-03 11:41:37:3211664 PM,0.9131,35.4423,,,,0.0125,0.0183,35.478,0.0032
2022-02-03 11:41:37:3973855 PM,0.9567,31.7595,,,,0.0126,0.0211,31.797,0.0032
2022-02-03 11:41:37:4756170 PM,0.6444,31.6228,,,,0.0133,0.0186,31.6565,0.0028
2022-02-03 11:41:37:5522380 PM,0.6494,36.6077,,,,0.0124,0.0182,36.6435,0.0027
2022-02-03 11:41:37:6291600 PM,0.8035,32.8497,,,,0.013,0.0183,32.8862,0.0029
2022-02-03 11:41:37:7033317 PM,1.0295,30.9507,,,,0.0139,0.018,32.576,0.003
2022-02-03 11:41:37:7806161 PM,1.0651,36.0588,,,,0.0126,0.0198,36.1163,0.0026
2022-02-03 11:41:37:8586178 PM,0.7341,37.7787,,,,0.0116,0.0759,37.8565,0.0119
2022-02-03 11:41:37:9343517 PM,1.1073,32.0622,,,,0.0122,0.0184,33.541,0.0027
2022-02-03 11:41:38:0127728 PM,1.1595,33.2,,,,0.0125,0.0203,33.2871,0.0048
2022-02-03 11:41:38:0764545 PM,0.7783,33.2221,,,,0.0123,0.0214,33.2619,0.0024
2022-02-03 11:41:38:1522047 PM,0.8221,36.819,,,,0.0117,0.0177,36.8515,0.003
2022-02-03 11:41:38:2151984 PM,1.1868,34.086,,,,0.0126,0.0217,34.1243,0.0038
2022-02-03 11:41:38:2780943 PM,0.8951,34.2154,,,,0.0121,0.0181,34.2502,0.0026
2022-02-03 11:41:38:3572095 PM,1.2128,36.8127,,,,0.0118,0.0851,36.9061,0.0136
2022-02-03 11:41:38:4369698 PM,0.9029,35.7739,,,,0.0117,0.0206,35.812,0.0035
2022-02-03 11:41:38:4996041 PM,0.67,34.8974,,,,0.0121,0.0264,34.9348,0.0036
2022-02-03 11:41:38:5748278 PM,0.7726,36.6663,,,,0.0118,0.024,36.7037,0.003
2022-02-03 11:41:38:6579803 PM,2.1231,34.5364,,,,0.0133,0.0211,34.571,0.0032
2022-02-03 11:41:38:7303732 PM,2.668,30.2088,,,,0.0133,0.0214,30.2476,0.0029
2022-02-03 11:41:38:8071195 PM,2.1931,38.8282,,,,0.0118,0.0741,38.9096,0.0118
2022-02-03 11:41:38:8889997 PM,2.2984,40.1006,,,,0.0126,0.0185,40.1381,0.0073
2022-02-03 11:41:38:9678718 PM,2.2351,33.6224,,,,0.0134,0.0192,33.6834,0.0032
2022-02-03 11:41:39:0450784 PM,2.5874,32.1485,,,,0.0125,0.0308,32.1874,0.005
2022-02-03 11:41:39:1250065 PM,0.8608,32.6981,,,,0.0129,0.0185,34.523,0.0029
2022-02-03 11:41:39:1979775 PM,2.5027,34.8279,,,,0.0116,0.0194,34.8632,0.0031
2022-02-03 11:41:39:2613954 PM,2.1897,32.9083,,,,0.0139,0.0215,32.9457,0.0037
2022-02-03 11:41:39:3380577 PM,2.3175,31.2991,,,,0.013,0.0585,31.3407,0.0029
2022-02-03 11:41:39:4162220 PM,2.3986,37.1247,,,,0.0126,0.0186,37.1847,0.0031
2022-02-03 11:41:39:4954733 PM,0.9631,33.721,,,,0.0183,0.0192,35.5452,0.0053
2022-02-03 11:41:39:5733034 PM,2.7527,38.8967,,,,0.0125,0.0187,38.9377,0.0031
2022-02-03 11:41:39:6500418 PM,0.8177,34.7909,,,,0.013,0.0191,36.4042,0.0035
2022-02-03 11:41:39:7264378 PM,2.5376,33.5219,,,,0.0167,0.0182,33.5578,0.0031
2022-02-03 11:41:39:7873882 PM,2.8525,31.7928,,,,0.0157,0.0175,31.8279,0.0027
2022-02-03 11:41:39:8668140 PM,0.9681,38.7527,,,,0.0124,0.0198,38.7886,0.0028
2022-02-03 11:41:39:9286591 PM,0.7339,28.9399,,,,0.0129,0.043,30.5077,0.0029
2022-02-03 11:41:40:0045895 PM,2.5198,32.3269,,,,0.0127,0.0245,32.3675,0.0025
2022-02-03 11:41:40:0820398 PM,2.4968,34.7189,,,,0.0127,0.0185,34.7632,0.003
2022-02-03 11:41:40:1624032 PM,2.4662,32.2232,,,,0.0127,0.0194,32.2616,0.003
2022-02-03 11:41:40:2387634 PM,2.7427,33.0581,,,,0.0184,0.0195,33.1304,0.0035
2022-02-03 11:41:40:3154269 PM,2.3094,32.0332,,,,0.0133,0.0214,32.0695,0.0026
2022-02-03 11:41:40:3933368 PM,0.9603,36.3347,,,,0.0141,0.0198,36.3698,0.0031
2022-02-03 11:41:40:4554846 PM,0.8525,29.9588,,,,0.0122,0.0194,31.6383,0.0034
2022-02-03 11:41:40:5307144 PM,0.7207,36.9948,,,,0.0128,0.0283,38.4609,0.0075
2022-02-03 11:41:40:6070506 PM,2.3751,30.6235,,,,0.0167,0.0205,30.6624,0.0032
2022-02-03 11:41:40:6867177 PM,2.5426,33.0923,,,,0.0124,0.0183,33.1313,0.0034
2022-02-03 11:41:40:7657240 PM,2.8068,36.1438,,,,0.0127,0.0184,36.1813,0.0029
2022-02-03 11:41:40:8399115 PM,2.4542,34.4804,,,,0.0119,0.0192,34.5163,0.0028
2022-02-03 11:41:40:9028490 PM,2.2904,32.2185,,,,0.0123,0.0212,32.2547,0.0029
2022-02-03 11:41:40:9789890 PM,2.3592,33.8049,,,,0.0127,0.018,33.8393,0.0063
2022-02-03 11:41:41:0586909 PM,2.8481,34.4812,,,,0.0122,0.0236,34.5235,0.006
2022-02-03 11:41:41:1197161 PM,2.2828,31.4647,,,,0.0127,0.0179,31.5064,0.0049
2022-02-03 11:41:41:1988545 PM,1.3174,39.8651,,,,0.0133,0.0366,39.9029,0.0029
2022-02-03 11:41:41:2599341 PM,3.0415,29.1671,,,,0.0126,0.0235,29.2108,0.0024
2022-02-03 11:41:41:3221295 PM,2.6481,29.7994,,,,0.0128,0.0187,29.8373,0.0053
2022-02-03 11:41:41:4007579 PM,2.1509,36.3687,,,,0.0127,0.0764,36.4012,0.003
2022-02-03 11:41:41:4773003 PM,1.167,33.5524,,,,0.0123,0.0257,33.5857,0.0031
2022-02-03 11:41:41:5555723 PM,0.6369,34.7595,,,,0.0124,0.0199,34.8019,0.0035
2022-02-03 11:41:41:6313920 PM,0.6767,34.5605,,,,0.0146,0.0233,34.6035,0.0032
2022-02-03 11:41:41:7092108 PM,0.8466,35.581,,,,0.02,0.0215,35.618,0.0032
2022-02-03 11:41:41:7867405 PM,0.7468,34.5878,,,,0.0132,0.0187,34.6249,0.0031
2022-02-03 11:41:41:8504372 PM,0.8194,33.9242,,,,0.0124,0.0184,33.9593,0.0025
2022-02-03 11:41:41:9281753 PM,0.8261,34.7878,,,,0.0122,0.0202,34.8216,0.0028
2022-02-03 11:41:41:9928535 PM,2.4784,33.0489,,,,0.0142,0.0201,33.0885,0.0033
2022-02-03 11:41:42:0716128 PM,2.4688,33.3801,,,,0.0135,0.0218,33.4263,0.0069
2022-02-03 11:41:42:2722181 PM,2.3473,160.4796,37.9377,20.1023,57.6267,0.0214,0.027,160.5176,0.0054
2022-02-03 11:41:42:3509755 PM,0.8797,31.8138,,,,0.0124,0.023,33.3295,0.0028
2022-02-03 11:41:42:4114451 PM,0.9226,28.5873,,,,0.0126,0.0192,30.0686,0.003
2022-02-03 11:41:42:4870749 PM,0.8922,32.5201,,,,0.0118,0.0205,34.1748,0.0037
2022-02-03 11:41:42:5501968 PM,1.0631,29.1983,,,,0.0127,0.0218,30.6644,0.004
2022-02-03 11:41:42:6114185 PM,0.9358,32.7444,,,,0.0126,0.0242,32.8578,0.0031
2022-02-03 11:41:42:6884148 PM,1.0134,35.3477,,,,0.0126,0.019,36.9747,0.0034
2022-02-03 11:41:42:7665027 PM,2.6939,31.8426,,,,0.0134,0.0222,31.8858,0.0024
2022-02-03 11:41:42:8389691 PM,2.4433,31.0579,,,,0.0122,0.0216,31.0959,0.0032
2022-02-03 11:41:42:9189780 PM,1.0377,42.8129,,,,0.016,0.0191,44.308,0.0026
2022-02-03 11:41:43:0092758 PM,1.1152,47.3619,,,,0.0118,0.0426,49.3212,0.0056
2022-02-03 11:41:43:0858550 PM,0.8844,33.7104,,,,0.0141,0.0195,35.3996,0.0033
2022-02-03 11:41:43:1643508 PM,1.0099,44.6496,,,,0.012,0.0214,46.4231,0.0037
2022-02-03 11:41:43:2551558 PM,0.9312,54.4871,,,,0.0137,0.0247,56.304,0.0046
2022-02-03 11:41:43:3496289 PM,0.8162,50.2143,,,,0.0118,0.0186,50.2554,0.0033
2022-02-03 11:41:43:4272286 PM,0.7805,39.1268,,,,0.013,0.0208,39.1646,0.0027
2022-02-03 11:41:43:5037277 PM,0.736,34.9844,,,,0.0126,0.0178,35.0185,0.0028
2022-02-03 11:41:43:5811564 PM,0.8902,39.8391,,,,0.0122,0.0184,39.8782,0.0058
2022-02-03 11:41:43:6586690 PM,0.9091,35.7122,,,,0.021,0.0248,35.7636,0.0025
2022-02-03 11:41:43:7350805 PM,0.7252,33.8595,,,,0.0122,0.026,33.8946,0.003
2022-02-03 11:41:43:8268601 PM,0.9066,46.8465,,,,0.0119,0.0206,46.8859,0.0027
2022-02-03 11:41:43:9072339 PM,0.8166,35.625,,,,0.0128,0.0187,37.47,0.0029
2022-02-03 11:41:43:9837327 PM,0.9704,35.1933,,,,0.0129,0.0294,36.878,0.0047
2022-02-03 11:41:44:0602933 PM,2.4773,33.7437,,,,0.0137,0.0204,33.7835,0.0033
2022-02-03 11:41:44:1354393 PM,2.4232,35.7519,,,,0.0145,0.0195,35.7965,0.0028
2022-02-03 11:41:44:2135365 PM,2.3203,33.3881,,,,0.0124,0.019,33.4236,0.0032
2022-02-03 11:41:44:2917018 PM,2.5456,36.6255,,,,0.0265,0.0185,36.6664,0.0034
2022-02-03 11:41:44:3677488 PM,3.5515,31.6877,,,,0.0124,0.02,31.732,0.0036
2022-02-03 11:41:44:4444677 PM,0.9841,33.2868,,,,0.0177,0.0252,33.3261,0.0029
2022-02-03 11:41:44:5201227 PM,0.8961,32.3396,,,,0.0134,0.0204,32.3818,0.0029
2022-02-03 11:41:44:5984854 PM,0.6973,37.2871,,,,0.0124,0.0177,38.8348,0.0032
2022-02-03 11:41:44:6777405 PM,1.0245,42.0268,,,,0.0161,0.0765,44.021,0.0119
2022-02-03 11:41:44:7530352 PM,2.2713,42.4426,,,,0.0125,0.0186,42.4852,0.0028
2022-02-03 11:41:44:8331899 PM,2.1355,38.779,,,,0.0122,0.0185,38.8153,0.0029
2022-02-03 11:41:44:9088598 PM,2.399,33.2318,,,,0.0124,0.0181,33.2679,0.0056
2022-02-03 11:41:44:9877421 PM,2.4953,36.9818,,,,0.013,0.0185,37.0194,0.0033
2022-02-03 11:41:45:0675015 PM,2.3451,33.928,,,,0.0131,0.0766,34.0136,0.0138
2022-02-03 11:41:45:1412081 PM,2.3353,35.574,,,,0.0121,0.0227,35.6091,0.0028
2022-02-03 11:41:45:2179689 PM,2.645,32.1247,,,,0.014,0.0179,32.1618,0.0033
2022-02-03 11:41:45:3014353 PM,2.4316,34.2504,,,,0.0121,0.0773,34.3292,0.0126
2022-02-03 11:41:45:3887478 PM,1.2184,35.6978,,,,0.013,0.0202,37.3908,0.0054
2022-02-03 11:41:45:4713100 PM,2.8485,32.8148,,,,0.0125,0.0707,32.8957,0.0116
2022-02-03 11:41:45:5445876 PM,1.2216,37.9792,,,,0.0128,0.0184,39.5808,0.0028
2022-02-03 11:41:45:6241112 PM,0.8072,33.3619,,,,0.0154,0.0189,35.3102,0.0029
2022-02-03 11:41:45:6935854 PM,2.3975,32.6565,,,,0.0126,0.0216,32.6922,0.0039
2022-02-03 11:41:45:7652376 PM,2.4667,32.9199,,,,0.0118,0.0193,32.9532,0.0031
2022-02-03 11:41:45:8426835 PM,0.782,34.1221,,,,0.0126,0.0202,35.9197,0.0031
2022-02-03 11:41:45:9054507 PM,2.1401,29.9829,,,,0.015,0.0353,30.0181,0.0034
2022-02-03 11:41:45:9845063 PM,2.6878,33.6156,,,,0.0119,0.0181,33.6602,0.0026
2022-02-03 11:41:46:0601671 PM,2.9639,34.0752,,,,0.0135,0.0204,34.1173,0.0073
2022-02-03 11:41:46:1248598 PM,2.0973,30.0766,,,,0.0125,0.0707,30.1503,0.0114
2022-02-03 11:41:46:1853574 PM,2.1743,31.1706,,,,0.0126,0.0177,31.2111,0.0045
2022-02-03 11:41:46:2617210 PM,2.6064,33.0463,,,,0.0113,0.0236,33.1055,0.0029
2022-02-03 11:41:46:3260585 PM,2.1386,30.8773,,,,0.0124,0.0184,30.9153,0.0047
2022-02-03 11:41:46:4036898 PM,2.2783,33.5691,,,,0.0138,0.0185,33.61,0.0025
2022-02-03 11:41:46:4828794 PM,2.4364,32.5584,,,,0.0128,0.0199,32.5952,0.0032
2022-02-03 11:41:46:5592715 PM,0.8483,31.9999,,,,0.0144,0.0241,33.7138,0.0189
2022-02-03 11:41:46:6369243 PM,0.8383,32.4846,,,,0.0126,0.0197,32.5197,0.0032
2022-02-03 11:41:46:7124931 PM,0.7938,30.9581,,,,0.0179,0.0797,33.0797,0.0046
2022-02-03 11:41:46:7889780 PM,2.2063,31.9479,,,,0.0127,0.0192,31.9853,0.0025
2022-02-03 11:41:46:8682831 PM,0.9528,30.0058,,,,0.0129,0.0182,31.5899,0.0028
2022-02-03 11:41:46:9469556 PM,0.7628,36.3126,,,,0.0142,0.019,38.1276,0.0029
2022-02-03 11:41:47:0248233 PM,2.5408,33.148,,,,0.0154,0.0193,33.1844,0.0062
2022-02-03 11:41:47:0894546 PM,2.4396,32.4073,,,,0.0133,0.0222,32.4465,0.0039
2022-02-03 11:41:47:1668644 PM,2.3191,31.8243,,,,0.012,0.0199,31.8602,0.003
2022-02-03 11:41:47:2477784 PM,2.3432,33.5741,,,,0.0122,0.0344,33.611,0.003
2022-02-03 11:41:47:3221518 PM,2.0561,32.0971,,,,0.0122,0.0228,32.1322,0.0033
2022-02-03 11:41:47:3992554 PM,0.8957,33.0306,,,,0.0205,0.0234,34.6607,0.003
2022-02-03 11:41:47:4599390 PM,2.4794,30.2735,,,,0.0122,0.0179,30.3093,0.003
2022-02-03 11:41:47:5240853 PM,2.3237,29.1454,,,,0.0121,0.0596,29.1834,0.0029
2022-02-03 11:41:47:5981544 PM,0.9304,32.6722,,,,0.0125,0.0224,32.7218,0.0024
2022-02-03 11:41:47:6742581 PM,2.9993,33.3614,,,,0.0279,0.0202,33.3982,0.0027
2022-02-03 11:41:47:7537354 PM,0.7052,31.1011,,,,0.0132,0.021,32.593,0.004
2022-02-03 11:41:47:8174097 PM,2.5328,29.9503,,,,0.0125,0.0226,29.9914,0.0027
2022-02-03 11:41:47:8912816 PM,0.986,36.1414,,,,0.0163,0.021,37.6006,0.0037
2022-02-03 11:41:47:9557088 PM,2.3818,30.6084,,,,0.0119,0.0217,30.6437,0.0033
2022-02-03 11:41:48:0328171 PM,2.5709,31.8603,,,,0.0127,0.0201,31.9005,0.0034
2022-02-03 11:41:48:1092939 PM,2.6896,30.6744,,,,0.0128,0.0189,30.7292,0.0038
2022-02-03 11:41:48:1895810 PM,0.7509,45.4733,,,,0.0126,0.0235,45.5093,0.0032
2022-02-03 11:41:48:2513684 PM,2.2916,32.487,,,,0.0124,0.0273,32.5244,0.0075
2022-02-03 11:41:48:3318475 PM,1.0105,31.8642,,,,0.0144,0.0213,31.9021,0.0035
2022-02-03 11:41:48:4090842 PM,2.4944,33.6355,,,,0.013,0.0181,33.672,0.0034
2022-02-03 11:41:48:4858568 PM,2.4196,36.0846,,,,0.0125,0.0241,36.1242,0.003
2022-02-03 11:41:48:5645596 PM,2.5243,35.2807,,,,0.0124,0.0202,35.3186,0.0032
2022-02-03 11:41:48:6268387 PM,0.9901,29.4604,,,,0.0135,0.0181,31.2958,0.0029
2022-02-03 11:41:48:7061514 PM,2.4363,33.4336,,,,0.0125,0.0205,33.473,0.0038
2022-02-03 11:41:48:7823063 PM,2.5125,33.0277,,,,0.0127,0.0191,33.065,0.0031
2022-02-03 11:41:48:8585526 PM,2.5764,33.0772,,,,0.0124,0.0213,33.1209,0.0042
2022-02-03 11:41:48:9361804 PM,0.7927,30.579,,,,0.0119,0.0195,32.3431,0.0026
2022-02-03 11:41:49:0003699 PM,0.643,34.5235,,,,0.012,0.0193,34.5609,0.004
2022-02-03 11:41:49:0620239 PM,0.9273,32.7642,,,,0.0122,0.0193,32.8074,0.003
2022-02-03 11:41:49:1572547 PM,1.2978,52.5404,,,,0.014,0.0185,52.5797,0.0029
2022-02-03 11:41:49:2180496 PM,0.9168,30.7334,,,,0.0124,0.0196,30.7901,0.0031
2022-02-03 11:41:49:2796315 PM,0.8363,31.7122,,,,0.0122,0.0391,31.772,0.0035
2022-02-03 11:41:49:3595201 PM,2.386,30.9188,,,,0.0118,0.0228,30.9562,0.003
2022-02-03 11:41:49:4385682 PM,1.0061,35.4159,,,,0.0158,0.0182,35.4515,0.0167
2022-02-03 11:41:49:5157233 PM,0.7635,42.899,,,,0.0119,0.0785,42.9782,0.0097
2022-02-03 11:41:49:5916573 PM,0.8869,33.8869,,,,0.0132,0.0179,33.9285,0.0054
2022-02-03 11:41:49:6707403 PM,0.7873,34.9504,,,,0.012,0.0272,34.991,0.0036
2022-02-03 11:41:49:7329393 PM,0.7478,31.1313,,,,0.0142,0.0181,31.1668,0.0025
2022-02-03 11:41:49:9837065 PM,0.9272,212.3964,57.4841,18.9706,90.2969,0.0122,0.051,212.4338,0.0033
2022-02-03 11:41:50:0595659 PM,1.2392,35.2167,,,,0.0126,0.0188,37.4219,0.0026
2022-02-03 11:41:50:1373475 PM,1.1292,35.0758,,,,0.0165,0.0189,35.1159,0.0037
2022-02-03 11:41:50:2148152 PM,0.8975,33.0816,,,,0.0119,0.0233,33.1215,0.0031
2022-02-03 11:41:50:3557317 PM,0.9972,96.4947,,,,0.0115,0.019,96.5313,0.0032
2022-02-03 11:41:50:4293587 PM,0.8666,35.0301,,,,0.0123,0.02,35.0702,0.0029
2022-02-03 11:41:50:4916132 PM,0.8183,33.7169,,,,0.0116,0.0184,33.7531,0.003
2022-02-03 11:41:50:5705638 PM,1.0989,39.9352,,,,0.0122,0.0187,39.9776,0.0029
2022-02-03 11:41:50:6464920 PM,0.7061,37.42,,,,0.0124,0.0185,37.4548,0.0036
2022-02-03 11:41:50:7220972 PM,0.9187,40.5398,,,,0.0207,0.019,40.5828,0.0163
2022-02-03 11:41:50:8000048 PM,0.9221,36.3461,,,,0.0126,0.0209,36.3869,0.003
2022-02-03 11:41:50:8754499 PM,0.9094,39.0765,,,,0.0131,0.0204,39.1138,0.0033
2022-02-03 11:41:50:9557822 PM,1.0112,39.9184,,,,0.0129,0.0192,39.9588,0.0031
2022-02-03 11:41:51:0313574 PM,0.852,37.6453,,,,0.0166,0.0776,37.6828,0.0029
2022-02-03 11:41:51:1070466 PM,0.8516,34.421,,,,0.0124,0.0187,34.4551,0.0033
2022-02-03 11:41:51:1831737 PM,1.5172,38.6,,,,0.0119,0.0202,38.6369,0.0049
2022-02-03 11:41:51:2621952 PM,0.8449,36.834,,,,0.0127,0.0215,36.8722,0.0033
2022-02-03 11:41:51:3409362 PM,0.6593,39.4355,,,,0.0124,0.0757,39.5216,0.0105
2022-02-03 11:41:51:4162068 PM,0.7529,39.0052,,,,0.0195,0.0235,40.6377,0.0055
2022-02-03 11:41:51:4928187 PM,0.9098,36.3043,,,,0.0119,0.0734,36.3873,0.0117
2022-02-03 11:41:51:5841801 PM,0.9076,38.1475,,,,0.0119,0.0188,38.1817,0.0029
2022-02-03 11:41:51:6623168 PM,1.01,35.7896,,,,0.0128,0.0213,35.8273,0.0026
2022-02-03 11:41:51:7400792 PM,1.2325,38.9895,,,,0.0133,0.0207,39.151,0.0047
2022-02-03 11:41:51:8753728 PM,0.8559,86.7553,,,,0.0238,0.0195,86.7999,0.0026
2022-02-03 11:41:51:9544127 PM,3.1331,33.6444,,,,0.0169,0.0363,33.708,0.0056
