Time,Sign,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,Get,ResponseRead
2022-02-03 11:41:16:5425301 PM,0.7924,32.048,,,,0.0128,0.0185,33.4146,0.0026
2022-02-03 11:41:16:6047452 PM,0.7087,33.3973,,,,0.0122,0.0188,34.962,0.0028
2022-02-03 11:41:16:6826015 PM,0.8486,33.4911,,,,0.0183,0.0181,35.0867,0.003
2022-02-03 11:41:16:7485938 PM,0.7118,31.2517,,,,0.0127,0.018,32.7928,0.0026
2022-02-03 11:41:16:8409850 PM,0.9275,34.4789,,,,0.0113,0.0293,34.5225,0.0223
2022-02-03 11:41:16:9030208 PM,2.2967,30.8082,,,,0.0123,0.0197,30.845,0.0033
2022-02-03 11:41:16:9647034 PM,2.5208,30.6035,,,,0.0116,0.018,30.6445,0.0054
2022-02-03 11:41:17:0286385 PM,2.4521,30.848,,,,0.0235,0.0421,30.8858,0.0031
2022-02-03 11:41:17:1046783 PM,2.5125,35.2635,,,,0.0121,0.0227,35.2988,0.0028
2022-02-03 11:41:17:1691708 PM,2.7192,33.8407,,,,0.0148,0.0228,33.8799,0.0025
2022-02-03 11:41:17:2292696 PM,2.62,30.8236,,,,0.0134,0.0181,30.8624,0.0044
2022-02-03 11:41:17:2912697 PM,0.8361,31.9987,,,,0.0127,0.0295,33.6835,0.0056
2022-02-03 11:41:17:3534645 PM,2.5868,29.8778,,,,0.0124,0.0188,29.9205,0.0056
2022-02-03 11:41:17:4316419 PM,2.5066,31.0508,,,,0.0122,0.0187,31.0882,0.003
2022-02-03 11:41:17:5051038 PM,0.8959,33.1818,,,,0.0121,0.0194,34.4719,0.0046
2022-02-03 11:41:17:5827699 PM,0.9575,32.3937,,,,0.0123,0.0192,33.768,0.0031
2022-02-03 11:41:17:6468208 PM,0.9502,30.3302,,,,0.0148,0.0185,31.6317,0.0044
2022-02-03 11:41:17:7100737 PM,2.4147,31.202,,,,0.0121,0.0205,31.2391,0.003
2022-02-03 11:41:17:7901685 PM,1.003,33.4037,,,,0.0131,0.019,35.2716,0.0033
2022-02-03 11:41:17:8654686 PM,2.497,32.6458,,,,0.0115,0.0237,32.6853,0.0031
2022-02-03 11:41:17:9396646 PM,2.2747,31.3362,,,,0.0124,0.0188,31.3726,0.0028
2022-02-03 11:41:18:0041140 PM,2.4575,30.8679,,,,0.0168,0.0221,30.9097,0.0035
2022-02-03 11:41:18:0801631 PM,1.0272,35.1765,,,,0.0122,0.0181,35.272,0.0028
2022-02-03 11:41:18:1438304 PM,2.5734,30.1754,,,,0.0282,0.0192,30.2143,0.0035
2022-02-03 11:41:18:2060091 PM,1.0451,33.3711,,,,0.0124,0.0182,35.0523,0.003
