Time,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,SdkRequest,ResponseRead
2021-12-29 09:26:45:1146006 PM,542.1328,34.9665,67.7404,182.5641,0.7134,1.102,853.9468,6.2096
2021-12-29 09:26:50:2030566 PM,36.547,,,,0.0264,0.0451,39.8558,0.0914
2021-12-29 09:26:55:2982385 PM,31.631,,,,0.0391,0.0433,35.2615,0.0625
2021-12-29 09:27:00:3894857 PM,39.7205,,,,0.0346,0.0733,43.8001,0.0845
2021-12-29 09:27:05:4715852 PM,40.0105,,,,0.0148,0.0315,42.4878,0.0423
2021-12-29 09:27:10:5689944 PM,37.791,,,,0.0206,0.0187,40.7978,0.0429
2021-12-29 09:27:15:6525107 PM,36.2835,,,,0.018,0.0458,39.3794,0.0744
2021-12-29 09:27:20:7457653 PM,41.1509,,,,0.0192,0.016,44.1066,0.6502
2021-12-29 09:27:25:8642455 PM,35.316,,,,0.059,0.0169,63.6463,0.0474
2021-12-29 09:27:30:9334960 PM,32.2313,,,,0.0163,0.0159,35.1741,0.0724
2021-12-29 09:27:36:0257202 PM,44.4768,,,,0.0324,0.1215,48.5731,0.1644
2021-12-29 09:27:41:1567439 PM,37.0628,,,,0.0511,0.0597,73.276,0.1427
2021-12-29 09:27:46:2399480 PM,32.9251,,,,0.0125,0.0162,36.4239,0.0381
2021-12-29 09:27:51:3109960 PM,31.9566,,,,0.0123,0.0159,35.1963,0.0461
2021-12-29 09:27:56:3886734 PM,37.1749,,,,0.0139,0.0168,39.8527,0.0632
2021-12-29 09:28:01:4665910 PM,35.4802,,,,0.0127,0.0176,39.0067,0.3068
2021-12-29 09:28:06:5605542 PM,42.6151,,,,0.0148,0.0624,45.0806,0.04
2021-12-29 09:28:11:6472622 PM,35.2358,,,,0.0108,0.015,37.5469,0.033
2021-12-29 09:28:16:7443563 PM,35.6017,,,,0.0114,0.0226,36.599,0.0405
2021-12-29 09:28:21:8325387 PM,40.942,,,,0.0111,0.0338,43.4282,0.0739
2021-12-29 09:28:26:9262850 PM,45.1242,,,,0.0136,0.0837,47.8371,0.1289
2021-12-29 09:28:32:0073822 PM,38.5756,,,,0.0108,0.0567,41.5069,0.1297
2021-12-29 09:28:37:0831153 PM,33.3785,,,,0.011,0.0151,36.2066,0.0352
2021-12-29 09:28:42:1859516 PM,33.1498,,,,0.0108,0.0163,36.0276,0.0352
2021-12-29 09:28:47:2675705 PM,34.3509,,,,0.0109,0.0155,36.5193,0.0338
2021-12-29 09:28:52:3528063 PM,42.7112,,,,0.0111,0.0141,45.5968,0.0337
2021-12-29 09:28:57:4237744 PM,35.655,,,,0.0295,0.0156,38.1816,0.0405
2021-12-29 09:29:02:5098381 PM,32.9329,,,,0.0169,0.0353,36.0345,0.0493
2021-12-29 09:29:07:5907932 PM,32.0644,,,,0.0121,0.0254,34.7012,0.0359
2021-12-29 09:29:12:6640913 PM,33.6519,,,,0.0144,0.0184,35.9162,0.0529
