Time,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,SdkRequest,ResponseRead
2021-12-29 10:07:43:3087638 PM,490.2295,41.735,30.6582,198.8806,0.7072,0.9455,679.4896,4.0637
2021-12-29 10:07:43:3861816 PM,34.1655,,,,0.0288,0.0501,37.5599,0.0991
2021-12-29 10:07:43:4643618 PM,34.2066,,,,0.0193,0.0293,37.6121,0.0577
2021-12-29 10:07:43:5435605 PM,33.9453,,,,0.0323,0.0439,38.0761,0.071
2021-12-29 10:07:43:6229412 PM,38.9677,,,,0.0293,0.0302,41.8518,0.0598
2021-12-29 10:07:43:7012370 PM,32.9967,,,,0.0196,0.0286,35.998,0.0554
2021-12-29 10:07:43:7792480 PM,36.0759,,,,0.0244,0.0411,36.8848,0.05
2021-12-29 10:07:43:8615532 PM,32.3431,,,,0.0199,0.0376,35.3071,0.0433
2021-12-29 10:07:43:9327107 PM,33.5235,,,,0.0196,0.0316,36.6208,0.0608
2021-12-29 10:07:44:0106558 PM,37.2,,,,0.0188,0.0219,40.2741,0.0487
2021-12-29 10:07:44:0898347 PM,32.9855,,,,0.02,0.0246,35.7264,0.0474
2021-12-29 10:07:44:1674712 PM,32.1245,,,,0.0252,0.0273,36.0493,0.0481
2021-12-29 10:07:44:2305531 PM,31.8721,,,,0.0312,0.0275,34.7055,0.0557
2021-12-29 10:07:44:2939855 PM,32.928,,,,0.0199,0.049,36.1747,0.0564
2021-12-29 10:07:44:3710450 PM,32.7368,,,,0.0176,0.069,36.1273,0.1491
2021-12-29 10:07:44:4475277 PM,42.1167,,,,0.0252,0.0331,44.8966,0.0534
2021-12-29 10:07:44:5262513 PM,33.2166,,,,0.0169,0.0703,36.8565,0.1538
2021-12-29 10:07:44:6005797 PM,33.9532,,,,0.017,0.0199,36.8861,0.0505
2021-12-29 10:07:44:6820299 PM,35.9941,,,,0.022,0.0798,39.4534,0.2087
2021-12-29 10:07:44:7562194 PM,33.4483,,,,0.0176,0.087,36.2707,0.0547
2021-12-29 10:07:44:8192871 PM,32.1078,,,,0.0186,0.0205,34.6992,0.047
2021-12-29 10:07:44:8983251 PM,33.7333,,,,0.0161,0.0196,36.5994,0.0413
2021-12-29 10:07:44:9623793 PM,34.3001,,,,0.0345,0.0204,37.0494,0.0513
2021-12-29 10:07:45:0382131 PM,31.6445,,,,0.0158,0.0232,34.7668,0.0716
2021-12-29 10:07:45:1131922 PM,31.8882,,,,0.02,0.0328,34.9742,0.0435
2021-12-29 10:07:45:1862545 PM,32.025,,,,0.0161,0.0266,34.7474,0.0411
2021-12-29 10:07:45:2637340 PM,30.5181,,,,0.0268,0.0185,33.2428,0.0447
2021-12-29 10:07:45:3392343 PM,32.4047,,,,0.0151,0.0191,35.7575,0.044
2021-12-29 10:07:45:3995693 PM,31.6664,,,,0.0151,0.0188,35.3433,0.0393
2021-12-29 10:07:45:4632553 PM,32.1622,,,,0.0157,0.0189,34.7145,1.0148
2021-12-29 10:07:45:5251173 PM,31.6507,,,,0.0153,0.0221,34.3873,0.0385
2021-12-29 10:07:45:5883245 PM,29.6316,,,,0.0152,0.0219,32.1849,0.0397
2021-12-29 10:07:45:6653377 PM,39.2894,,,,0.0158,0.0219,42.2496,0.0424
2021-12-29 10:07:45:7406204 PM,38.7491,,,,0.0185,0.0181,42.2903,0.0548
2021-12-29 10:07:45:8199644 PM,35.1272,,,,0.015,0.0228,37.7833,0.0588
2021-12-29 10:07:45:8958649 PM,30.8029,,,,0.0129,0.0315,33.3389,1.2134
2021-12-29 10:07:45:9731948 PM,33.3062,,,,0.0149,0.0181,34.3777,0.0319
2021-12-29 10:07:46:0487462 PM,32.9437,,,,0.0128,0.0173,35.2161,0.0273
2021-12-29 10:07:46:1148251 PM,33.1638,,,,0.0134,0.0251,36.0196,0.0293
2021-12-29 10:07:46:1750871 PM,31.8844,,,,0.013,0.0238,34.7161,0.0464
2021-12-29 10:07:46:2538142 PM,41.6523,,,,0.0133,0.0208,44.9429,0.0351
2021-12-29 10:07:46:3311525 PM,33.2453,,,,0.0134,0.0174,34.5266,0.0308
2021-12-29 10:07:46:3960205 PM,33.7011,,,,0.0162,0.0179,36.3348,0.0277
2021-12-29 10:07:46:4724266 PM,32.3385,,,,0.0131,0.0206,35.1051,0.0283
2021-12-29 10:07:46:5488856 PM,34.4006,,,,0.0147,0.0269,35.7939,0.0353
2021-12-29 10:07:46:6232915 PM,35.6913,,,,0.0147,0.0273,38.5618,0.0316
2021-12-29 10:07:46:6855473 PM,32.9961,,,,0.0194,0.0196,34.2071,0.0297
2021-12-29 10:07:46:7491316 PM,32.934,,,,0.0135,0.0199,35.734,0.0331
2021-12-29 10:07:46:8096929 PM,31.5819,,,,0.0133,0.0184,34.4639,0.0351
2021-12-29 10:07:46:8886510 PM,39.6055,,,,0.0133,0.0175,42.0718,0.0395
2021-12-29 10:07:46:9536048 PM,31.584,,,,0.0156,0.0249,32.9696,0.0342
2021-12-29 10:07:47:0173497 PM,32.3555,,,,0.0138,0.1568,33.5302,0.0282
2021-12-29 10:07:47:0935578 PM,34.7539,,,,0.017,0.0169,35.6355,0.0306
2021-12-29 10:07:47:1715778 PM,35.2828,,,,0.0145,0.0384,36.3931,0.072
2021-12-29 10:07:47:2359045 PM,32.518,,,,0.0149,0.0202,33.6425,0.5081
2021-12-29 10:07:47:2974113 PM,34.0433,,,,0.0133,0.017,35.0786,0.0311
2021-12-29 10:07:47:3755033 PM,32.6584,,,,0.0129,0.0186,35.3849,0.0286
2021-12-29 10:07:47:4519268 PM,35.3281,,,,0.0139,0.017,36.2736,0.0276
2021-12-29 10:07:47:5299366 PM,35.9639,,,,0.0132,0.0178,37.1065,0.0344
2021-12-29 10:07:47:6116584 PM,37.1012,,,,0.0249,0.0385,38.453,0.0496
2021-12-29 10:07:47:6874560 PM,36.9972,,,,0.0192,0.0393,38.1103,0.0435
2021-12-29 10:07:47:7619605 PM,34.4534,,,,0.0188,0.02,35.7936,0.0697
2021-12-29 10:07:47:8395092 PM,37.4318,,,,0.0142,0.0211,38.5757,0.0306
2021-12-29 10:07:47:9177368 PM,40.0275,,,,0.013,0.0197,41.1895,0.0278
2021-12-29 10:07:47:9947816 PM,35.3271,,,,0.0135,0.0169,36.5494,0.0323
2021-12-29 10:07:48:0734589 PM,40.1082,,,,0.0168,0.0167,40.8261,0.0365
2021-12-29 10:07:48:1498342 PM,32.0266,,,,0.0135,0.0178,32.9856,0.0273
2021-12-29 10:07:48:2125525 PM,32.6765,,,,0.0135,0.0182,33.7757,0.0312
2021-12-29 10:07:48:2886616 PM,34.4511,,,,0.0146,0.0188,35.5512,0.0318
2021-12-29 10:07:48:3507120 PM,31.6751,,,,0.013,0.0174,32.8342,0.0307
2021-12-29 10:07:48:4591444 PM,66.5253,,,,0.0163,0.0188,67.5452,0.0433
2021-12-29 10:07:48:5217272 PM,33.9652,,,,0.0166,0.0374,35.011,0.0568
2021-12-29 10:07:48:5969975 PM,32.5807,,,,0.0139,0.0175,35.3926,0.0303
2021-12-29 10:07:48:6771087 PM,38.1213,,,,0.0185,0.0186,39.4398,0.0333
2021-12-29 10:07:48:7527016 PM,30.6925,,,,0.0142,0.0187,33.6232,0.0333
2021-12-29 10:07:48:8134335 PM,31.8135,,,,0.0158,0.0192,34.1747,0.0342
2021-12-29 10:07:48:8915404 PM,31.6524,,,,0.0127,0.0182,34.5728,0.0296
2021-12-29 10:07:48:9547270 PM,32.5581,,,,0.0137,0.0184,35.2305,0.032
2021-12-29 10:07:49:0178261 PM,29.6304,,,,0.0131,0.0189,32.7422,0.0283
2021-12-29 10:07:49:0962373 PM,31.5614,,,,0.0142,0.0337,34.3109,0.0284
2021-12-29 10:07:49:1713279 PM,31.6095,,,,0.0136,0.0261,34.2134,0.0462
2021-12-29 10:07:49:2633056 PM,31.1339,,,,0.0184,0.0211,34.3982,0.0364
2021-12-29 10:07:49:3419265 PM,34.3873,,,,0.0147,0.0718,37.7471,0.1191
2021-12-29 10:07:49:4096251 PM,32.4902,,,,0.0132,0.079,35.6184,0.1362
