Time,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,SdkRequest,ResponseRead
2021-12-29 10:24:01:4889357 PM,472.7609,43.4291,29.9508,148.9877,0.5631,0.6395,681.2372,5.3843
2021-12-29 10:24:08:7140443 PM,163.8882,31.5745,22.5281,59.2128,0.0343,0.0342,167.8275,0.1685
2021-12-29 10:24:15:9647401 PM,198.7432,28.8,69.5174,57.0186,0.0203,0.0454,201.3507,0.0653
2021-12-29 10:24:23:2041033 PM,182.604,30.5888,25.3974,68.0751,0.0341,0.0486,185.7257,0.0408
2021-12-29 10:24:30:4148555 PM,167.3784,29.3243,27.6137,66.6607,0.0221,0.034,169.8958,0.0644
2021-12-29 10:24:37:6514620 PM,193.5797,29.5747,24.5422,83.3539,0.0281,0.0229,196.519,0.0444
2021-12-29 10:24:44:8767258 PM,166.6691,30.8349,23.3923,61.553,0.0175,0.0218,169.6624,0.0437
2021-12-29 10:24:52:0940843 PM,165.0761,32.266,21.4473,68.9181,0.0167,0.0221,168.8209,0.0472
2021-12-29 10:24:59:3047004 PM,157.7838,23.811,24.1469,58.4199,0.0198,0.0256,160.6938,0.0999
