Time,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,SdkRequest,ResponseRead
2021-12-29 06:56:22 PM,460.6092,57.2875,25.258,174.9826,0.7026,0.6189,653.8966,3.5938
2021-12-29 06:56:28 PM,38.0124,,,,0.026,0.0449,40.7601,0.0921
2021-12-29 06:56:34 PM,42.0669,,,,0.0192,0.1018,45.4369,0.1642
2021-12-29 06:56:40 PM,35.1947,,,,0.0189,0.0668,38.1246,0.0582
2021-12-29 06:56:46 PM,32.3575,,,,0.022,0.0488,35.5465,0.0599
2021-12-29 06:56:52 PM,31.9542,,,,0.0138,0.0318,34.7698,0.0719
2021-12-29 06:56:58 PM,30.6961,,,,0.0138,0.0649,33.9442,0.149
