Time,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,SdkRequest,ResponseRead
2021-12-29 07:06:01 PM,465.5,66.2446,23.6404,149.7448,0.5105,0.5092,669.8348,0
2021-12-29 07:06:01 PM,178.9127,1.1995,24.104,104.9035,0.0264,0.0305,182.6888,0
2021-12-29 07:06:01 PM,129.2959,0.9823,20.5453,60.37,0.0244,0.0354,132.5156,0
2021-12-29 07:06:01 PM,129.8322,1.0616,17.3696,58.6846,0.0151,0.0458,133.3012,0
2021-12-29 07:06:01 PM,166.8438,0.9734,19.6525,105.6288,0.0169,0.0348,170.2166,0
2021-12-29 07:06:02 PM,121.9962,0.8841,20.3176,52.9097,0.0251,0.0328,125.5619,0
2021-12-29 07:06:02 PM,139.745,0.8961,20.2546,61.3283,0.0225,0.0365,142.3442,0
2021-12-29 07:06:02 PM,157.284,0.9409,21.4223,91.686,0.0137,0.0693,160.2049,0
2021-12-29 07:06:02 PM,135.4089,1.5504,21.7646,56.9603,0.0132,0.0172,140.1344,0
2021-12-29 07:06:02 PM,147.0132,0.9988,20.3251,80.7901,0.0185,0.019,149.6512,0
2021-12-29 07:06:03 PM,125.896,0.8559,24.3812,53.151,0.0139,0.0887,129.3231,0
2021-12-29 07:06:03 PM,122.4802,1.1633,31.3001,54.6565,0.0185,0.022,126.8053,0
2021-12-29 07:06:03 PM,119.1427,0.9123,19.6644,56.5688,0.0142,0.0162,121.9335,0
2021-12-29 07:06:03 PM,114.3274,0.7667,21.031,56.6095,0.0132,0.016,117.2223,0
2021-12-29 07:06:03 PM,104.3604,0.8291,18.4795,52.0194,0.0241,0.0154,107.5035,0
2021-12-29 07:06:03 PM,124.4088,0.9509,22.6186,53.4372,0.0294,0.0157,127.3791,0
2021-12-29 07:06:03 PM,110.1818,0.8143,19.1744,53.0999,0.0124,0.0189,112.8805,0
2021-12-29 07:06:04 PM,115.0364,0.8692,21.2827,56.5225,0.0114,0.0637,115.9503,0
2021-12-29 07:06:04 PM,110.8207,0.8084,20.2301,54.5019,0.0113,0.0573,113.7944,0
2021-12-29 07:06:04 PM,119.0401,0.7277,20.3449,53.6306,0.0112,0.0159,120.4748,0
2021-12-29 07:06:04 PM,119.6004,0.8772,18.7225,54.4058,0.011,0.0167,122.4559,0
2021-12-29 07:06:04 PM,130.7039,0.9105,22.2948,62.5426,0.0119,0.0688,133.5003,0
2021-12-29 07:06:04 PM,114.4651,0.9203,22.4172,56.2378,0.0115,0.0472,117.7099,0
2021-12-29 07:06:05 PM,114.8418,0.9331,19.966,50.7088,0.017,0.0145,117.834,0
2021-12-29 07:06:05 PM,183.6094,55.964,25.772,55.6208,0.0121,0.0173,186.1754,0
2021-12-29 07:06:05 PM,117.2553,1.2509,19.937,51.9014,0.0111,0.022,120.8384,0
2021-12-29 07:06:05 PM,118.2564,0.9496,25.22,58.5037,0.0119,0.0189,121.2572,0
2021-12-29 07:06:05 PM,114.2047,0.9244,18.866,51.6111,0.0112,0.0144,115.2314,0
2021-12-29 07:06:05 PM,120.2467,0.9168,23.5118,52.7039,0.0124,0.0148,122.9397,0
2021-12-29 07:06:06 PM,148.6469,1.2006,21.6388,57.3257,0.0114,0.0166,151.8096,0
2021-12-29 07:06:06 PM,116.5469,1.4329,20.2463,58.8878,0.0189,0.025,119.7525,0
2021-12-29 07:06:06 PM,128.8979,1.0741,19.5671,62.6361,0.0254,0.0232,132.993,0
2021-12-29 07:06:06 PM,114.4181,0.8497,17.6187,50.7197,0.0162,0.0184,117.3798,0
2021-12-29 07:06:06 PM,118.7297,1.1574,20.3316,53.8664,0.0104,0.026,121.4511,0
2021-12-29 07:06:06 PM,123.1938,0.9275,23.0003,57.8478,0.0142,0.0178,126.1647,0
2021-12-29 07:06:07 PM,127.308,1.4914,19.5421,60.3237,0.0114,0.0153,128.4755,0
2021-12-29 07:06:07 PM,110.0916,1.4021,19.2687,52.0334,0.01,0.0152,111.2862,0
2021-12-29 07:06:07 PM,141.3002,17.0654,19.2075,56.2152,0.009,0.0182,142.5315,0
2021-12-29 07:06:07 PM,110.029,1.0662,19.2951,52.0008,0.0093,0.0164,110.987,0
2021-12-29 07:06:07 PM,127.0429,1.0735,24.9277,60.9291,0.01,0.0181,128.0937,0
2021-12-29 07:06:07 PM,126.1679,0.7869,18.36,60.4364,0.0094,0.0148,127.1256,0
2021-12-29 07:06:08 PM,115.9679,0.86,17.82,50.176,0.0096,0.0202,116.9012,0
2021-12-29 07:06:08 PM,116.0759,0.7702,21.2903,55.1233,0.013,0.0182,117.2972,0
2021-12-29 07:06:08 PM,121.0243,0.817,25.4484,55.0856,0.0095,0.0185,122.0412,0
2021-12-29 07:06:08 PM,117.8987,0.8637,18.1116,65.061,0.0098,0.0153,120.7984,0
2021-12-29 07:06:08 PM,132.3429,0.8212,20.6986,63.9905,0.0115,0.028,135.1965,0
2021-12-29 07:06:08 PM,126.9547,0.763,19.5168,57.7199,0.0145,0.0155,127.9682,0
2021-12-29 07:06:09 PM,133.3889,0.9569,20.3241,63.9905,0.0088,0.0151,134.8564,0
2021-12-29 07:06:09 PM,113.3713,0.8737,20.709,55.1185,0.0137,0.0216,114.5749,0
2021-12-29 07:06:09 PM,105.2425,0.8912,18.5851,50.2755,0.01,0.0148,108.1997,0
2021-12-29 07:06:09 PM,123.7788,0.9984,22.9149,64.2087,0.0093,0.0145,126.4121,0
2021-12-29 07:06:09 PM,138.5319,0.8981,19.9442,63.4803,0.0088,0.0666,139.9396,0
2021-12-29 07:06:09 PM,113.5024,0.7958,17.6534,52.2044,0.0088,0.0168,116.1849,0
2021-12-29 07:06:09 PM,127.8684,0.9218,19.5428,58.2661,0.0088,0.0204,130.3984,0
2021-12-29 07:06:10 PM,108.0561,1.296,18.2911,55.147,0.0095,0.024,109.0442,0
2021-12-29 07:06:10 PM,159.6629,43.1242,18.1615,55.731,0.0091,0.0153,162.6057,0
2021-12-29 07:06:10 PM,114.0346,0.887,18.6955,50.736,0.0088,0.0602,116.611,0
2021-12-29 07:06:10 PM,115.7057,1.3856,18.7757,52.5162,0.0091,0.0149,119.3449,0
2021-12-29 07:06:10 PM,143.8841,0.7532,19.5418,76.6445,0.0088,0.0523,145.4449,0
2021-12-29 07:06:10 PM,118.0166,0.8178,20.6471,51.672,0.0088,0.0542,119.5165,0
2021-12-29 07:06:11 PM,117.4732,1.1964,20.5458,53.5785,0.0127,0.0544,121.0439,0
2021-12-29 07:06:11 PM,136.7302,0.8034,21.9179,56.0884,0.0136,0.015,137.9549,0
2021-12-29 07:06:11 PM,127.3086,1.2275,18.0893,59.1496,0.0152,0.015,128.4997,0
2021-12-29 07:06:11 PM,112.8833,0.8878,20.2237,51.3422,0.0561,0.0143,113.8609,0
2021-12-29 07:06:11 PM,156.2613,0.8353,19.4525,93.0133,0.0097,0.0143,159.0535,0
2021-12-29 07:06:12 PM,173.2127,0.8433,19.6186,53.4329,0.0091,0.014,174.1296,0
2021-12-29 07:06:12 PM,106.2788,0.87,24.3102,49.7808,0.01,0.0199,109.1162,0
2021-12-29 07:06:12 PM,114.5527,1.1001,18.7328,62.1444,0.0093,0.0149,117.4673,0
2021-12-29 07:06:12 PM,103.0704,0.8784,18.1686,52.7294,0.0089,0.0159,105.5357,0
2021-12-29 07:06:12 PM,113.7522,1.2839,19.456,51.2259,0.0092,0.0157,114.9761,0
2021-12-29 07:06:12 PM,121.868,0.9356,19.9972,55.8947,0.0118,0.0149,122.7814,0
2021-12-29 07:06:12 PM,106.8151,0.9082,20.1716,49.2463,0.0085,0.0205,109.3119,0
2021-12-29 07:06:13 PM,120.9311,0.9124,19.8608,57.8015,0.0094,0.0151,122.0436,0
