Time,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,SdkRequest,ResponseRead
2021-12-29 10:06:13:2382194 PM,487.7124,55.0051,26.0829,166.7295,0.5797,0.637,691.5647,6.5949
2021-12-29 10:06:20:4571696 PM,155.7746,29.9863,26.4416,55.6896,0.0381,0.037,159.8363,0.097
2021-12-29 10:06:27:7087014 PM,179.9067,28.7569,21.2681,76.927,0.0508,0.1221,188.6652,0.1465
2021-12-29 10:06:34:9350168 PM,171.6689,27.5837,22.8431,74.4567,0.0256,0.0494,174.4751,0.0363
2021-12-29 10:06:42:1742025 PM,176.3986,38.1914,21.3543,61.3508,0.0271,0.0775,181.7276,0.0799
2021-12-29 10:06:49:3688479 PM,145.8653,21.6983,22.0952,58.7138,0.0193,0.0268,149.1931,0.0558
2021-12-29 10:06:56:5942029 PM,142.7042,22.0628,23.3854,55.8157,0.018,0.0794,171.4443,0.1587
