Time,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,SdkRequest,ResponseRead
2021-12-29 07:00:41 PM,551.8982,65.7221,63.1641,197.5394,0.5677,0.8245,786.3068,4.9342
2021-12-29 07:00:48 PM,190.507,50.4562,31.4317,61.7089,0.0301,0.0388,193.5848,0.1068
2021-12-29 07:00:54 PM,171.9119,46.2899,21.2248,57.8897,0.0144,0.0354,175.7953,0.0561
2021-12-29 07:01:01 PM,167.3364,43.3219,23.5103,58.4904,0.0171,0.056,170.1073,0.0605
2021-12-29 07:01:07 PM,165.1258,44.8284,21.2618,54.6358,0.0149,0.0271,167.7339,0.0406
2021-12-29 07:01:13 PM,176.5757,43.1853,24.1985,62.3171,0.0143,0.0182,179.0775,0.0382
